"WaferNumber: Ascending","X: Descending","Y: Descending",HBin
11,4,16,1
11,4,18,1
11,4,19,1
11,4,20,1
11,4,21,1
11,4,22,1
11,4,25,1
11,4,26,1
11,4,27,1
11,6,2,39
11,6,26,17
11,6,24,12
11,6,29,10
11,6,16,6
11,6,18,5
11,6,19,5
11,6,4,3
11,6,3,1
11,6,5,1
11,6,6,1
11,6,7,1
11,6,8,1
11,6,9,1
11,6,10,1
11,6,11,1
11,6,12,1
11,6,13,1
11,6,14,1
11,6,15,1
11,6,17,1
11,6,20,1
11,6,21,1
11,6,22,1
11,6,23,1
11,6,25,1
11,6,27,1
11,6,28,1
11,7,30,39
11,7,6,12
11,7,1,11
11,7,15,11
11,7,27,11
11,7,28,11
11,7,5,10
11,7,14,5
11,7,26,5
11,7,2,1
11,7,3,1
11,7,4,1
11,7,7,1
11,7,8,1
11,7,9,1
11,7,10,1
11,7,11,1
11,7,12,1
11,7,13,1
11,7,16,1
11,7,17,1
11,7,18,1
11,7,19,1
11,7,20,1
11,7,21,1
11,7,22,1
11,7,23,1
11,7,24,1
11,7,25,1
11,7,29,1
11,8,2,39
11,8,3,39
11,8,30,22
11,8,15,5
11,8,16,3
11,8,17,3
11,8,4,1
11,8,5,1
11,8,6,1
11,8,7,1
11,8,8,1
11,8,9,1
11,8,10,1
11,8,11,1
11,8,12,1
11,8,13,1
11,8,14,1
11,8,18,1
11,8,19,1
11,8,20,1
11,8,21,1
11,8,22,1
11,8,23,1
11,8,24,1
11,8,25,1
11,8,26,1
11,8,27,1
11,8,28,1
11,8,29,1
11,13,18,39
11,13,19,39
11,13,14,11
11,13,15,11
11,13,16,11
11,13,12,1
11,13,13,1
11,13,17,1
11,9,4,25
11,9,28,22
11,9,9,10
11,9,25,10
11,9,19,5
11,9,2,3
11,9,11,3
11,9,18,3
11,9,20,3
11,9,21,3
11,9,3,1
11,9,5,1
11,9,6,1
11,9,7,1
11,9,8,1
11,9,10,1
11,9,12,1
11,9,13,1
11,9,14,1
11,9,15,1
11,9,16,1
11,9,17,1
11,9,22,1
11,9,23,1
11,9,24,1
11,9,26,1
11,9,27,1
11,9,29,1
11,5,2,20
11,5,28,11
11,5,29,11
11,5,3,3
11,5,7,3
11,5,8,3
11,5,22,3
11,5,4,1
11,5,5,1
11,5,6,1
11,5,9,1
11,5,10,1
11,5,11,1
11,5,12,1
11,5,13,1
11,5,14,1
11,5,15,1
11,5,16,1
11,5,17,1
11,5,18,1
11,5,19,1
11,5,20,1
11,5,21,1
11,5,23,1
11,5,24,1
11,5,25,1
11,5,26,1
11,5,27,1
11,12,7,18
11,12,24,11
11,12,12,10
11,12,14,5
11,12,17,5
11,12,20,3
11,12,8,1
11,12,9,1
11,12,10,1
11,12,11,1
11,12,13,1
11,12,15,1
11,12,16,1
11,12,18,1
11,12,19,1
11,12,21,1
11,12,22,1
11,12,23,1
11,10,4,11
11,10,15,10
11,10,3,3
11,10,26,3
11,10,5,1
11,10,6,1
11,10,7,1
11,10,8,1
11,10,9,1
11,10,10,1
11,10,11,1
11,10,12,1
11,10,13,1
11,10,14,1
11,10,16,1
11,10,17,1
11,10,18,1
11,10,19,1
11,10,20,1
11,10,21,1
11,10,22,1
11,10,23,1
11,10,24,1
11,10,25,1
11,10,27,1
11,10,28,1
11,11,6,10
11,11,8,10
11,11,12,10
11,11,18,5
11,11,24,5
11,11,9,3
11,11,26,3
11,11,5,1
11,11,7,1
11,11,10,1
11,11,11,1
11,11,13,1
11,11,14,1
11,11,15,1
11,11,16,1
11,11,17,1
11,11,19,1
11,11,20,1
11,11,21,1
11,11,22,1
11,11,23,1
11,11,25,1
12,1,14,39
12,1,15,39
12,1,16,39
12,1,17,39
12,1,18,39
12,1,13,10
12,4,7,39
12,4,28,39
12,4,8,10
12,4,20,5
12,4,6,3
12,4,17,3
12,4,4,1
12,4,5,1
12,4,9,1
12,4,10,1
12,4,11,1
12,4,12,1
12,4,13,1
12,4,14,1
12,4,15,1
12,4,16,1
12,4,18,1
12,4,19,1
12,4,21,1
12,4,22,1
12,4,23,1
12,4,24,1
12,4,25,1
12,4,26,1
12,4,27,1
12,6,2,39
12,6,19,39
12,6,12,11
12,6,18,11
12,6,4,10
12,6,5,10
12,6,16,5
12,6,29,5
12,6,10,3
12,6,20,3
12,6,22,3
12,6,28,3
12,6,3,1
12,6,6,1
12,6,7,1
12,6,8,1
12,6,9,1
12,6,11,1
12,6,13,1
12,6,14,1
12,6,15,1
12,6,17,1
12,6,21,1
12,6,23,1
12,6,24,1
12,6,25,1
12,6,26,1
12,6,27,1
12,7,17,39
12,7,3,25
12,7,5,25
12,7,4,10
12,7,26,10
12,7,28,10
12,7,14,5
12,7,19,5
12,7,30,5
12,7,1,3
12,7,24,3
12,7,2,1
12,7,6,1
12,7,7,1
12,7,8,1
12,7,9,1
12,7,10,1
12,7,11,1
12,7,12,1
12,7,13,1
12,7,15,1
12,7,16,1
12,7,18,1
12,7,20,1
12,7,21,1
12,7,22,1
12,7,23,1
12,7,25,1
12,7,27,1
12,7,29,1
12,11,21,39
12,11,24,25
12,11,26,22
12,11,11,10
12,11,12,10
12,11,23,10
12,11,7,5
12,11,18,4
12,11,6,3
12,11,5,1
12,11,8,1
12,11,9,1
12,11,10,1
12,11,13,1
12,11,14,1
12,11,15,1
12,11,16,1
12,11,17,1
12,11,19,1
12,11,20,1
12,11,22,1
12,11,25,1
12,8,29,26
12,8,7,25
12,8,2,11
12,8,15,11
12,8,30,11
12,8,26,10
12,8,28,10
12,8,11,4
12,8,3,1
12,8,4,1
12,8,5,1
12,8,6,1
12,8,8,1
12,8,9,1
12,8,10,1
12,8,12,1
12,8,13,1
12,8,14,1
12,8,16,1
12,8,17,1
12,8,18,1
12,8,19,1
12,8,20,1
12,8,21,1
12,8,22,1
12,8,23,1
12,8,24,1
12,8,25,1
12,8,27,1
12,3,7,25
12,3,5,22
12,3,10,10
12,3,14,10
12,3,19,10
12,3,21,10
12,3,25,10
12,3,26,10
12,3,22,4
12,3,6,3
12,3,20,2
12,3,8,1
12,3,9,1
12,3,11,1
12,3,12,1
12,3,13,1
12,3,15,1
12,3,16,1
12,3,17,1
12,3,18,1
12,3,23,1
12,3,24,1
12,5,2,25
12,5,18,25
12,5,7,10
12,5,25,10
12,5,26,10
12,5,27,10
12,5,29,5
12,5,10,3
12,5,11,3
12,5,17,3
12,5,19,3
12,5,21,3
12,5,3,1
12,5,4,1
12,5,5,1
12,5,6,1
12,5,8,1
12,5,9,1
12,5,12,1
12,5,13,1
12,5,14,1
12,5,15,1
12,5,16,1
12,5,20,1
12,5,22,1
12,5,23,1
12,5,24,1
12,5,28,1
12,12,24,22
12,12,7,18
12,12,9,12
12,12,22,11
12,12,11,10
12,12,19,10
12,12,8,5
12,12,10,1
12,12,12,1
12,12,13,1
12,12,14,1
12,12,15,1
12,12,16,1
12,12,17,1
12,12,18,1
12,12,20,1
12,12,21,1
12,12,23,1
12,10,10,12
12,10,7,10
12,10,9,10
12,10,6,6
12,10,3,5
12,10,22,3
12,10,25,3
12,10,26,3
12,10,4,1
12,10,5,1
12,10,8,1
12,10,11,1
12,10,12,1
12,10,13,1
12,10,14,1
12,10,15,1
12,10,16,1
12,10,17,1
12,10,18,1
12,10,19,1
12,10,20,1
12,10,21,1
12,10,23,1
12,10,24,1
12,10,27,1
12,10,28,1
12,2,17,11
12,2,16,10
12,2,18,10
12,2,10,3
12,2,8,1
12,2,9,1
12,2,11,1
12,2,12,1
12,2,13,1
12,2,14,1
12,2,15,1
12,2,19,1
12,2,20,1
12,2,21,1
12,2,22,1
12,2,23,1
12,9,3,11
12,9,4,10
12,9,2,3
12,9,5,1
12,9,6,1
12,9,7,1
